Symbol,Name,Keyword
ADC,Agree Realty Corporation,Agree Realty 
ADCT,ADC Therapeutics SA,ADC Therapeutics
ADES,"Advanced Emissions Solutions, Inc.",Advanced Emissions Solutions
ADI,"Analog Devices, Inc.",Analog Devices
ADIL,"Adial Pharmaceuticals, Inc",Adial Pharmaceuticals
ADILW,"Adial Pharmaceuticals, Inc",Adial Pharmaceuticals
ADM,Archer-Daniels-Midland Company,Archer-Daniels-Midland
ADMA,ADMA Biologics Inc,ADMA Biologics
ADMP,Adamis Pharmaceuticals Corporation,Adamis Pharmaceuticals 
ADMS,"Adamas Pharmaceuticals, Inc.",Adamas Pharmaceuticals
ADNT,Adient plc,Adient
ADP,"Automatic Data Processing, Inc.",Automatic Data Processing
ADPT,Adaptive Biotechnologies Corporation,Adaptive Biotechnologies 
ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,Invesco BLDRS Emerging Markets 50 ADR Index Fund
ADRO,"Aduro Biotech, Inc.",Aduro Biotech
ADS,Alliance Data Systems Corporation,Alliance Data Systems 
ADSK,"Autodesk, Inc.",Autodesk
ADSW,"Advanced Disposal Services, Inc.",Advanced Disposal Services
ADT,ADT Inc.,ADT
ADTN,"ADTRAN, Inc.",ADTRAN
ADTX,"ADiTx Therapeutics, Inc.",ADiTx Therapeutics
ADUS,Addus HomeCare Corporation,Addus HomeCare 
ADVM,"Adverum Biotechnologies, Inc.",Adverum Biotechnologies
ADX,"Adams Diversified Equity Fund, Inc.",Adams Diversified Equity Fund
ADXN,Addex Therapeutics Ltd,Addex Therapeutics
ADXS,"Advaxis, Inc.",Advaxis
AEB,Aegon NV,Aegon NV
AEE,Ameren Corporation,Ameren 
AEFC,Aegon Funding Company LLC,Aegon Funding Company LLC
AEG,Aegon NV,Aegon NV
AEGN,Aegion Corp,Aegion Corp
AEHR,Aehr Test Systems,Aehr Test Systems
AEIS,"Advanced Energy Industries, Inc.",Advanced Energy Industries
AEL,American Equity Investment Life Holding Company,American Equity Investment Life
AEL-A,American Equity Investment Life Holding Company,American Equity Investment Life
AEL-B,American Equity Investment Life Holding Company,American Equity Investment Life
AEM,Agnico Eagle Mines Limited,Agnico Eagle Mines
AEMD,"Aethlon Medical, Inc.",Aethlon Medical
AEO,"American Eagle Outfitters, Inc.",American Eagle Outfitters
AEP,"American Electric Power Company, Inc.",American Electric Power
AEP-B,"American Electric Power Company, Inc.",American Electric Power
AEP-C,"American Electric Power Company, Inc.",American Electric Power
AER,Aercap Holdings N.V.,Aercap
AERI,"Aerie Pharmaceuticals, Inc.",Aerie Pharmaceuticals
AES,The AES Corporation,The AES 
AESE,"Allied Esports Entertainment, Inc.",Allied Esports Entertainment
AEY,"ADDvantage Technologies Group, Inc.",ADDvantage Technologies
AEYE,"AudioEye, Inc.",AudioEye
AEZS,AEterna Zentaris Inc.,AEterna Zentaris
AFB,Alliance National Municipal Income Fund Inc,Alliance National Municipal Income Fund
AFC,Ares Capital Corporation,Ares Capital 
AFG,"American Financial Group, Inc.",American Financial
AFGB,"American Financial Group, Inc.",American Financial
AFGC,"American Financial Group, Inc.",American Financial
AFGD,"American Financial Group, Inc.",American Financial
AFGH,"American Financial Group, Inc.",American Financial
AFI,"Armstrong Flooring, Inc.",Armstrong Flooring
AFIB,"Acutus Medical, Inc.",Acutus Medical
AFIN,"American Finance Trust, Inc.",American Finance Trust
AFINP,"American Finance Trust, Inc.",American Finance Trust
AFL,Aflac Incorporated,Aflac
AFMD,Affimed N.V.,Affimed
AFT,Apollo Senior Floating Rate Fund Inc.,Apollo Senior Floating Rate Fund
AFYA,Afya Limited,Afya
AG,First Majestic Silver Corp.,First Majestic Silver
AGBA,AGBA Acquisition Limited,AGBA Acquisition
AGBAR,AGBA Acquisition Limited,AGBA Acquisition
AGBAU,AGBA Acquisition Limited,AGBA Acquisition
AGBAW,AGBA Acquisition Limited,AGBA Acquisition
AGCO,AGCO Corporation,AGCO 
AGD,Aberdeen Global Dynamic Dividend Fund,Aberdeen Global Dynamic Dividend Fund
AGEN,Agenus Inc.,Agenus
AGFS,"AgroFresh Solutions, Inc.",AgroFresh Solutions
AGI,Alamos Gold Inc.,Alamos Gold
AGIO,"Agios Pharmaceuticals, Inc.",Agios Pharmaceuticals
AGLE,"Aeglea BioTherapeutics, Inc.",Aeglea BioTherapeutics
AGM,Federal Agricultural Mortgage Corporation,Federal Agricultural Mortgage 
AGM-A,Federal Agricultural Mortgage Corporation,Federal Agricultural Mortgage 
AGM-C,Federal Agricultural Mortgage Corporation,Federal Agricultural Mortgage 
AGM-D,Federal Agricultural Mortgage Corporation,Federal Agricultural Mortgage 
AGM-E,Federal Agricultural Mortgage Corporation,Federal Agricultural Mortgage 
AGM-F,Federal Agricultural Mortgage Corporation,Federal Agricultural Mortgage 
AGM-A,Federal Agricultural Mortgage Corporation,Federal Agricultural Mortgage 
AGMH,AGM Group Holdings Inc.,AGM
AGNC,AGNC Investment Corp.,AGNC Investment
AGNCM,AGNC Investment Corp.,AGNC Investment
AGNCN,AGNC Investment Corp.,AGNC Investment
AGNCO,AGNC Investment Corp.,AGNC Investment
AGNCP,AGNC Investment Corp.,AGNC Investment
AGO,Assured Guaranty Ltd.,Assured Guaranty
AGO-B,Assured Guaranty Ltd.,Assured Guaranty
AGO-E,Assured Guaranty Ltd.,Assured Guaranty
AGO-F,Assured Guaranty Ltd.,Assured Guaranty
AGR,"Avangrid, Inc.",Avangrid
AGRO,Adecoagro S.A.,Adecoagro
AGRX,"Agile Therapeutics, Inc.",Agile Therapeutics
AGS,"PlayAGS, Inc.",PlayAGS
AGTC,Applied Genetic Technologies Corporation,Applied Genetic Technologies 
AGX,"Argan, Inc.",Argan
AGYS,"Agilysys, Inc.",Agilysys
AGZD,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund
AHC,A.H. Belo Corporation,A.H. Belo 
AHCO,AdaptHealth Corp. ,AdaptHealth
AHH,"Armada Hoffler Properties, Inc.",Armada Hoffler Properties
AHH-A,"Armada Hoffler Properties, Inc.",Armada Hoffler Properties
AHI,"Avadim Health, Inc.",Avadim Health
AHL-C,Aspen Insurance Holdings Limited,Aspen Insurance
AHL-D,Aspen Insurance Holdings Limited,Aspen Insurance
AHL-E,Aspen Insurance Holdings Limited,Aspen Insurance
AHPI,"Allied Healthcare Products, Inc.",Allied Healthcare Products
AHT,Ashford Hospitality Trust Inc,Ashford Hospitality Trust
AHT-D,Ashford Hospitality Trust Inc,Ashford Hospitality Trust
AHT-F,Ashford Hospitality Trust Inc,Ashford Hospitality Trust
AHT-G,Ashford Hospitality Trust Inc,Ashford Hospitality Trust
AHT-H,Ashford Hospitality Trust Inc,Ashford Hospitality Trust
AHT-I,Ashford Hospitality Trust Inc,Ashford Hospitality Trust
AI,Arlington Asset Investment Corp,Arlington Asset Investment Corp
AI-B,Arlington Asset Investment Corp,Arlington Asset Investment Corp
AI-C,Arlington Asset Investment Corp,Arlington Asset Investment Corp
AIA,iShares Asia 50 ETF,iShares Asia 50 ETF
AIC,Arlington Asset Investment Corp,Arlington Asset Investment Corp
AIF,Apollo Tactical Income Fund Inc.,Apollo Tactical Income Fund
AIG,"American International Group, Inc.",AIG
AIG-A,"American International Group, Inc.",AIG
AIG-WS,"American International Group, Inc.",AIG
AIH,Aesthetic Medical International Holdings Group Ltd.,Aesthetic Medical International
AIHS,Senmiao Technology Limited,Senmiao Technology
AIKI,AIkido Pharma Inc.,AIkido Pharma
AIMC,Altra Industrial Motion Corp.,Altra Industrial Motion
AIMT,"Aimmune Therapeutics, Inc.",Aimmune Therapeutics
AIN,Albany International Corporation,Albany International 
AINV,Apollo Investment Corporation,Apollo Investment 
AIO,AllianzGI Artificial Intelligence & Tech Opp Fd,AllianzGI Artificial Intelligence & Tech Opp Fd
AIQ,Global X Artificial Intelligence & Technology ETF,Global X Artificial Intelligence & Technology ETF
AIR,AAR Corp.,AAR
AIRG,"Airgain, Inc.",Airgain
AIRR,First Trust RBA American Industrial Renaissance ETF,First Trust RBA American Industrial Renaissance ETF
AIRT,"Air T, Inc.",Air T
AIRTP,"Air T, Inc.",Air T
AIRTW,"Air T, Inc.",Air T
AIT,"Applied Industrial Technologies, Inc.",Applied Industrial Technologies
AIV,Apartment Investment and Management Company,Apartment Investment and Management
AIW,Arlington Asset Investment Corp,Arlington Asset Investment Corp
AIZ,"Assurant, Inc.",Assurant
AIZP,"Assurant, Inc.",Assurant
AJG,Arthur J. Gallagher & Co.,Arthur J. Gallagher &
AJRD,"Aerojet Rocketdyne Holdings, Inc. ",Aerojet Rocketdyne
AJX,Great Ajax Corp.,Great Ajax
AJXA,Great Ajax Corp.,Great Ajax
AKAM,"Akamai Technologies, Inc.",Akamai
AKBA,"Akebia Therapeutics, Inc.",Akebia Therapeutics
AKCA,"Akcea Therapeutics, Inc.",Akcea Therapeutics
AKER,Akers Biosciences Inc.,Akers Biosciences
AKO-A,Embotelladora Andina S.A.,Embotelladora Andina
AKO-B,Embotelladora Andina S.A.,Embotelladora Andina
AKR,Acadia Realty Trust,Acadia Realty Trust
AKRO,"Akero Therapeutics, Inc.",Akero Therapeutics
AKTS,"Akoustis Technologies, Inc.",Akoustis Technologies
AKTX,Akari Therapeutics Plc,Akari Therapeutics
AKU,Akumin Inc.,Akumin
AKUS,"Akouos, Inc.",Akouos
AL,Air Lease Corporation,Air Lease 
AL-A,Air Lease Corporation,Air Lease 
ALAC,Alberton Acquisition Corporation,Alberton Acquisition 
ALACR,Alberton Acquisition Corporation,Alberton Acquisition 
ALACU,Alberton Acquisition Corporation,Alberton Acquisition 
ALACW,Alberton Acquisition Corporation,Alberton Acquisition 
ALB,Albemarle Corporation,Albemarle 
ALBO,"Albireo Pharma, Inc.",Albireo Pharma
ALC,Alcon Inc.,Alcon
ALCO,"Alico, Inc.",Alico
ALDX,"Aldeyra Therapeutics, Inc.",Aldeyra Therapeutics
ALE,"Allete, Inc.",Allete
ALEC,"Alector, Inc.",Alector
ALEX,"Alexander & Baldwin, Inc.",Alexander & Baldwin
ALG,"Alamo Group, Inc.",Alamo
ALGN,"Align Technology, Inc.",Align Technology
ALGT,Allegiant Travel Company,Allegiant Travel
ALIM,"Alimera Sciences, Inc.",Alimera Sciences
ALIN-A,Altera Infrastructure L.P.,Altera Infrastructure
ALIN-B,Altera Infrastructure L.P.,Altera Infrastructure
ALIN-E,Altera Infrastructure L.P.,Altera Infrastructure
ALIT,Alight Inc.,Alight
ALJJ,"ALJ Regional Holdings, Inc.",ALJ Regional
ALK,"Alaska Air Group, Inc.",Alaska Air
ALKS,Alkermes plc,Alkermes
ALL,Allstate Corporation (The),Allstate 
ALL-B,Allstate Corporation (The),Allstate 
ALL-G,Allstate Corporation (The),Allstate 
ALL-H,Allstate Corporation (The),Allstate 
ALL-I,Allstate Corporation (The),Allstate 
ALLE,Allegion plc,Allegion
ALLK,Allakos Inc.,Allakos
ALLO,"Allogene Therapeutics, Inc.",Allogene Therapeutics
ALLT,Allot Ltd.,Allot
ALLY,Ally Financial Inc.,Ally Financial
ALLY-A,Ally Financial Inc.,Ally Financial
ALNA,"Allena Pharmaceuticals, Inc.",Allena Pharmaceuticals
ALNY,"Alnylam Pharmaceuticals, Inc.",Alnylam Pharmaceuticals
ALOT,"AstroNova, Inc.",AstroNova
ALP-Q,Alabama Power Company,Alabama Power
ALPN,"Alpine Immune Sciences, Inc.",Alpine Immune Sciences
ALRM,"Alarm.com Holdings, Inc.",Alarm.com
ALRN,"Aileron Therapeutics, Inc.",Aileron Therapeutics
ALRS,Alerus Financial Corporation,Alerus Financial 
ALSK,"Alaska Communications Systems Group, Inc.",Alaska Communications Systems
ALSN,"Allison Transmission Holdings, Inc.",Allison Transmission
ALT,"Altimmune, Inc.",Altimmune
ALTA,Altabancorp,Altabancorp
ALTG,Alta Equipment Group Inc.,Alta Equipment
ALTG-WS,Alta Equipment Group Inc.,Alta Equipment
ALTM,Altus Midstream Company,Altus Midstream
ALTR,Altair Engineering Inc.,Altair Engineering
ALTY,Global X SuperDividend Alternatives ETF,Global X SuperDividend Alternatives ETF
ALUS,Alussa Energy Acquisition Corp.,Alussa Energy Acquisition
ALUS-U,Alussa Energy Acquisition Corp.,Alussa Energy Acquisition
ALUS-WS,Alussa Energy Acquisition Corp.,Alussa Energy Acquisition
ALV,"Autoliv, Inc.",Autoliv
ALVR,"AlloVir, Inc.",AlloVir
ALX,"Alexander's, Inc.",Alexander's
ALXN,"Alexion Pharmaceuticals, Inc.",Alexion Pharmaceuticals
ALXO,ALX Oncology Holdings Inc.,ALX Oncology
ALYA,Alithya Group inc.,Alithya
AM,Antero Midstream Corporation,Antero Midstream 
AMAG,"AMAG Pharmaceuticals, Inc.",AMAG Pharmaceuticals
AMAL,Amalgamated Bank,Amalgamated Bank
AMAT,"Applied Materials, Inc.",Applied Materials
AMBA,"Ambarella, Inc.",Ambarella
AMBC,"Ambac Financial Group, Inc.",Ambac Financial
AMBC-WS,"Ambac Financial Group, Inc.",Ambac Financial
AMC,"AMC Entertainment Holdings, Inc.",AMC Entertainment
AMCA,iShares Russell 1000 Pure U.S. Revenue ETF,iShares Russell 1000 Pure U.S. Revenue ETF
AMCI,AMCI Acquisition Corp.,AMCI Acquisition
AMCIU,AMCI Acquisition Corp.,AMCI Acquisition
AMCIW,AMCI Acquisition Corp.,AMCI Acquisition
AMCR,Amcor plc,Amcor
AMCX,AMC Networks Inc.,AMC Networks
AMD,"Advanced Micro Devices, Inc.",AMD OR (Advanced Micro Devices)
AME,"AMTEK, Inc.",AMTEK
AMED,Amedisys Inc,Amedisys
AMEH,"Apollo Medical Holdings, Inc.",Apollo Medical
AMG,"Affiliated Managers Group, Inc.",Affiliated Managers
AMGN,Amgen Inc.,Amgen
AMH,American Homes 4 Rent,American Homes 4 Rent
AMH-D,American Homes 4 Rent,American Homes 4 Rent
AMH-E,American Homes 4 Rent,American Homes 4 Rent
AMH-F,American Homes 4 Rent,American Homes 4 Rent
AMH-G,American Homes 4 Rent,American Homes 4 Rent
AMH-H,American Homes 4 Rent,American Homes 4 Rent
AMHC,Amplitude Healthcare Acquisition Corporation,Amplitude Healthcare Acquisition 
AMHCU,Amplitude Healthcare Acquisition Corporation,Amplitude Healthcare Acquisition 
AMHCW,Amplitude Healthcare Acquisition Corporation,Amplitude Healthcare Acquisition 
AMK,"AssetMark Financial Holdings, Inc.",AssetMark Financial
AMKR,"Amkor Technology, Inc.",Amkor Technology
AMN,AMN Healthcare Services Inc,AMN Healthcare Services
AMNB,"American National Bankshares, Inc.",American National Bankshares
AMOT,"Allied Motion Technologies, Inc.",Allied Motion Technologies
AMOV,"America Movil, S.A.B. de C.V.",America Movil
AMP,"AMERIPRISE FINANCIAL SERVICES, LLC",AMERIPRISE FINANCIAL SERVICES
AMPH,"Amphastar Pharmaceuticals, Inc.",Amphastar Pharmaceuticals
AMPY,"MIDSTATES PETROLEUM COMPANY, INC.",MIDSTATES PETROLEUM
AMRB,American River Bankshares,American River Bankshares
AMRC,"Ameresco, Inc.",Ameresco
AMRH,"Ameri Holdings, Inc.",Ameri
AMRHW,"Ameri Holdings, Inc.",Ameri
AMRK,"A-Mark Precious Metals, Inc.",A-Mark Precious Metals
AMRN,Amarin Corporation plc,Amarin 
AMRS,"Amyris, Inc.",Amyris
AMRX,"Amneal Pharmaceuticals, Inc.",Amneal Pharmaceuticals
AMSC,American Superconductor Corporation,American Superconductor 
AMSF,"AMERISAFE, Inc.",AMERISAFE
AMSWA,"American Software, Inc.",American Software
AMT,American Tower Corporation (REIT),American Tower  (REIT)
AMTB,Amerant Bancorp Inc.,Amerant Bancorp
AMTBB,Amerant Bancorp Inc.,Amerant Bancorp
AMTD,TD Ameritrade Holding Corporation,TD Ameritrade 
AMTI,Applied Molecular Transport Inc.,Applied Molecular Transport
AMTX,"Aemetis, Inc",Aemetis
AMWD,American Woodmark Corporation,American Woodmark 
AMX,"America Movil, S.A.B. de C.V.",America Movil
AMYT,Amryt Pharma plc,Amryt Pharma
AMZN,"Amazon.com, Inc.",Amazon
AN,"AutoNation, Inc.",AutoNation
ANAB,"AnaptysBio, Inc.",AnaptysBio
ANAT,"American National Group, Inc.",American National
ANCN,Anchiano Therapeutics Ltd.,Anchiano Therapeutics
ANDA,Andina Acquisition Corp. III,Andina Acquisition  III
ANDAR,Andina Acquisition Corp. III,Andina Acquisition  III
ANDAU,Andina Acquisition Corp. III,Andina Acquisition  III
ANDAW,Andina Acquisition Corp. III,Andina Acquisition  III
ANDE,"The Andersons, Inc.",The Andersons
ANET,"Arista Networks, Inc.",Arista Networks
ANF,Abercrombie & Fitch Company,Abercrombie & Fitch
ANGI,ANGI Homeservices Inc.,ANGI Homeservices
ANGL,VanEck Vectors Fallen Angel High Yield Bond ETF,VanEck Vectors Fallen Angel High Yield Bond ETF
ANGO,"AngioDynamics, Inc.",AngioDynamics
ANH,Anworth Mortgage Asset  Corporation,Anworth Mortgage Asset  
ANH-A,Anworth Mortgage Asset  Corporation,Anworth Mortgage Asset  
ANH-B,Anworth Mortgage Asset  Corporation,Anworth Mortgage Asset  
ANH-C,Anworth Mortgage Asset  Corporation,Anworth Mortgage Asset  
ANIK,Anika Therapeutics Inc.,Anika Therapeutics
ANIP,"ANI Pharmaceuticals, Inc.",ANI Pharmaceuticals
ANIX,"Anixa Biosciences, Inc.",Anixa Biosciences
ANNX,"Annexon, Inc.",Annexon
ANPC,"AnPac Bio-Medical Science Co., Ltd.",AnPac Bio-Medical Science
ANSS,"ANSYS, Inc.",ANSYS
ANTE,AirNet Technology Inc.,AirNet Technology
ANTM,"Anthem, Inc.",Anthem
ANY,Sphere 3D Corp.,Sphere 3D
AOD,Aberdeen Total Dynamic Dividend Fund,Aberdeen Total Dynamic Dividend Fund
AON,Aon plc,Aon
AONE-U,one,one
AOS,A.O Smith Corporation,A.O Smith 
AOSL,Alpha and Omega Semiconductor Limited,Alpha and Omega Semiconductor
AOUT,"American Outdoor Brands, Inc.",American Outdoor Brands
AP,Ampco-Pittsburgh Corporation,Ampco-Pittsburgh 
APA,Apache Corporation,Apache 
APAM,Artisan Partners Asset Management Inc.,Artisan Partners Asset Management
APD,"Air Products and Chemicals, Inc.",Air Products and Chemicals
APDN,"Applied DNA Sciences, Inc.",Applied DNA Sciences
APEI,"American Public Education, Inc.",American Public Education
APEN,"Apollo Endosurgery, Inc.",Apollo Endosurgery
APEX,Apex Global Brands Inc.,Apex Global Brands
APG,APi Group Corporation,APi 
APH,Amphenol Corporation,Amphenol 
APHA,Aphria Inc.,Aphria
API,"Agora, Inc.",Agora
APLE,"Apple Hospitality REIT, Inc.",Apple Hospitality REIT
APLS,"Apellis Pharmaceuticals, Inc.",Apellis Pharmaceuticals
APLT,"Applied Therapeutics, Inc.",Applied Therapeutics
APM,Aptorum Group Limited,Aptorum
APO,"Apollo Global Management, Inc",Apollo Global Management
APO-A,"Apollo Global Management, Inc",Apollo Global Management
APO-B,"Apollo Global Management, Inc",Apollo Global Management
APOG,"Apogee Enterprises, Inc.",Apogee Enterprises
APOP,Cellect Biotechnology Ltd.,Cellect Biotechnology
APOPW,Cellect Biotechnology Ltd.,Cellect Biotechnology
APPF,"AppFolio, Inc.",AppFolio
APPN,Appian Corporation,Appian 
APPS,"Digital Turbine, Inc.",Digital Turbine
APRE,"Aprea Therapeutics, Inc.",Aprea Therapeutics
APRN,"Blue Apron Holdings, Inc.",Blue Apron
APTO,"Aptose Biosciences, Inc.",Aptose Biosciences
APTS,"Preferred Apartment Communities, Inc.",Preferred Apartment Communities
APTV,Aptiv PLC,Aptiv
APTV-A,Aptiv PLC,Aptiv
APTX,Aptinyx Inc.,Aptinyx
APVO,Aptevo Therapeutics Inc.,Aptevo Therapeutics
APWC,Asia Pacific Wire ,Asia Pacific Wire
APXT,Apex Technology Acquisition Corporation,Apex Technology Acquisition 
APXTU,Apex Technology Acquisition Corporation,Apex Technology Acquisition 
APXTW,Apex Technology Acquisition Corporation,Apex Technology Acquisition 
APYX,Apyx Medical Corporation,Apyx Medical 
AQB,"AquaBounty Technologies, Inc.",AquaBounty Technologies
AQMS,"Aqua Metals, Inc.",Aqua Metals
AQN,Algonquin Power & Utilities Corp.,Algonquin Power & Utilities
AQNA,Algonquin Power & Utilities Corp.,Algonquin Power & Utilities
AQNB,Algonquin Power & Utilities Corp.,Algonquin Power & Utilities
AQST,"Aquestive Therapeutics, Inc.",Aquestive Therapeutics
AQUA,Evoqua Water Technologies Corp.,Evoqua Water Technologies
AR,Antero Resources Corporation,Antero Resources 
ARA,"American Renal Associates Holdings, Inc",American Renal Associates
ARAV,"Aravive, Inc.",Aravive
ARAY,Accuray Incorporated,Accuray
ARC,"ARC Document Solutions, Inc.",ARC Document Solutions
ARCB,ArcBest Corporation,ArcBest 
ARCC,Ares Capital Corporation,Ares Capital 
ARCE,Arco Platform Limited,Arco Platform
ARCH,"Arch Resources, Inc.",Arch Resources
ARCO,Arcos Dorados Holdings Inc.,Arcos Dorados
ARCT,Arcturus Therapeutics Holdings Inc.,Arcturus Therapeutics
ARD,Ardagh Group S.A.,Ardagh
ARDC,"Ares Dynamic Credit Allocation Fund, Inc.",Ares Dynamic Credit Allocation Fund
ARDS,Aridis Pharmaceuticals Inc.,Aridis Pharmaceuticals
ARDX,"Ardelyx, Inc.",Ardelyx
ARE,"Alexandria Real Estate Equities, Inc.",Alexandria Real Estate Equities
AREC,American Resources Corporation,American Resources 
ARES,Ares Management Corporation,Ares Management 
ARES-A,Ares Management Corporation,Ares Management 
ARGD,"Argo Group International Holdings, Ltd.",Argo International
ARGO,"Argo Group International Holdings, Ltd.",Argo International
ARGO-A,"Argo Group International Holdings, Ltd.",Argo International
ARGX,argenx SE,argenx SE
ARI,Apollo Commercial Real Estate Finance,Apollo Commercial Real Estate Finance
ARKR,Ark Restaurants Corp.,Ark Restaurants
ARL,"American Realty Investors, Inc.",American Realty Investors
ARLO,"Arlo Technologies, Inc.",Arlo Technologies
ARLP,"Alliance Resource Partners, L.P.",Alliance Resource Partners
ARMK,Aramark,Aramark
ARNA,"Arena Pharmaceuticals, Inc.",Arena Pharmaceuticals
ARNC,Arconic Corporation,Arconic 
AROC,"Archrock, Inc.",Archrock
AROW,Arrow Financial Corporation,Arrow Financial 
ARPO,"Aerpio Pharmaceuticals, Inc.",Aerpio Pharmaceuticals
ARQT,"Arcutis Biotherapeutics, Inc.",Arcutis Biotherapeutics
ARR,"ARMOUR Residential REIT, Inc.",ARMOUR Residential REIT
ARR-C,"ARMOUR Residential REIT, Inc.",ARMOUR Residential REIT
ARTL,"Artelo Biosciences, Inc.",Artelo Biosciences
ARTLW,"Artelo Biosciences, Inc.",Artelo Biosciences
ARTNA,Artesian Resources Corporation,Artesian Resources 
ARTW,"Art's-Way Manufacturing Co., Inc.",Art's-Way Manufacturing
ARVN,"Arvinas, Inc.",Arvinas
ARW,"Arrow Electronics, Inc.",Arrow Electronics
ARWR,"Arrowhead Pharmaceuticals, Inc.",Arrowhead Pharmaceuticals
ARYA,ARYA Sciences Acquisition Corp III,ARYA Sciences Acquisition Corp III
ARYB,ARYA Sciences Acquisition Corp II,ARYA Sciences Acquisition Corp II
